,issue_id,image_id,image_url,height,width,record_date,created_at,modified_at
0,mc87rn53x,mc87rn546,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rn546/full/max/0/default.jpg,5256.0,3680.0,1831-12-10T00:00:00Z,2019-04-30T21:55:52Z,2019-06-24T14:08:34Z
1,mc87rn53x,mc87rn55g,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rn55g/full/max/0/default.jpg,5265.0,3668.0,1831-12-10T00:00:00Z,2019-04-30T21:55:52Z,2019-06-24T14:08:34Z
2,mc87rn53x,mc87rn56r,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rn56r/full/max/0/default.jpg,5278.0,3731.0,1831-12-10T00:00:00Z,2019-04-30T21:55:52Z,2019-06-24T14:08:34Z
3,mc87rn53x,mc87rn571,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rn571/full/max/0/default.jpg,5266.0,3713.0,1831-12-10T00:00:00Z,2019-04-30T21:55:52Z,2019-06-24T14:08:34Z
4,mc87rn236,mc87rn24g,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rn24g/full/max/0/default.jpg,5282.0,3735.0,1831-10-29T00:00:00Z,2019-04-30T21:48:32Z,2019-06-24T14:08:28Z
5,mc87rn236,mc87rn25r,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rn25r/full/max/0/default.jpg,5263.0,3737.0,1831-10-29T00:00:00Z,2019-04-30T21:48:32Z,2019-06-24T14:08:28Z
6,mc87rn236,mc87rn261,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rn261/full/max/0/default.jpg,5314.0,3728.0,1831-10-29T00:00:00Z,2019-04-30T21:48:32Z,2019-06-24T14:08:28Z
7,mc87rn236,mc87rn279,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rn279/full/max/0/default.jpg,5376.0,3765.0,1831-10-29T00:00:00Z,2019-04-30T21:48:32Z,2019-06-24T14:08:28Z
8,mc87rn589,mc87rn59k,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rn59k/full/max/0/default.jpg,5266.0,3678.0,1831-12-17T00:00:00Z,2019-04-30T21:56:43Z,2019-06-24T14:08:35Z
9,mc87rn589,mc87rn60b,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rn60b/full/max/0/default.jpg,5255.0,3700.0,1831-12-17T00:00:00Z,2019-04-30T21:56:43Z,2019-06-24T14:08:35Z
10,mc87rn589,mc87rn61m,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rn61m/full/max/0/default.jpg,5261.0,3674.0,1831-12-17T00:00:00Z,2019-04-30T21:56:43Z,2019-06-24T14:08:35Z
11,mc87rn589,mc87rn62w,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rn62w/full/max/0/default.jpg,5257.0,3716.0,1831-12-17T00:00:00Z,2019-04-30T21:56:43Z,2019-06-24T14:08:35Z
12,mc87rn635,mc87rn64f,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rn64f/full/max/0/default.jpg,5360.0,3704.0,1831-12-24T00:00:00Z,2019-04-30T21:57:35Z,2019-06-24T14:08:37Z
13,mc87rn635,mc87rn65q,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rn65q/full/max/0/default.jpg,5342.0,3709.0,1831-12-24T00:00:00Z,2019-04-30T21:57:35Z,2019-06-24T14:08:37Z
14,mc87rn635,mc87rn660,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rn660/full/max/0/default.jpg,5249.0,3694.0,1831-12-24T00:00:00Z,2019-04-30T21:57:35Z,2019-06-24T14:08:37Z
15,mc87rn635,mc87rn678,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rn678/full/max/0/default.jpg,5240.0,3680.0,1831-12-24T00:00:00Z,2019-04-30T21:57:35Z,2019-06-24T14:08:37Z
16,mc87rp780,mc87rp798,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rp798/full/max/0/default.jpg,5292.0,3666.0,1833-06-08T00:00:00Z,2019-04-30T22:25:07Z,2019-06-24T14:08:38Z
17,mc87rp780,mc87rp801,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rp801/full/max/0/default.jpg,5292.0,3660.0,1833-06-08T00:00:00Z,2019-04-30T22:25:07Z,2019-06-24T14:08:38Z
18,mc87rp780,mc87rp819,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rp819/full/max/0/default.jpg,5292.0,3660.0,1833-06-08T00:00:00Z,2019-04-30T22:25:07Z,2019-06-24T14:08:38Z
19,mc87rp780,mc87rp82k,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rp82k/full/max/0/default.jpg,5292.0,3672.0,1833-06-08T00:00:00Z,2019-04-30T22:25:07Z,2019-06-24T14:08:38Z
20,mc87rn482,mc87rn49b,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rn49b/full/max/0/default.jpg,5272.0,3720.0,1831-12-03T00:00:00Z,2019-04-30T21:54:58Z,2019-06-24T14:08:33Z
21,mc87rn482,mc87rn503,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rn503/full/max/0/default.jpg,5260.0,3711.0,1831-12-03T00:00:00Z,2019-04-30T21:54:58Z,2019-06-24T14:08:33Z
22,mc87rn482,mc87rn51c,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rn51c/full/max/0/default.jpg,5267.0,3766.0,1831-12-03T00:00:00Z,2019-04-30T21:54:58Z,2019-06-24T14:08:33Z
23,mc87rn482,mc87rn52n,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rn52n/full/max/0/default.jpg,5275.0,3772.0,1831-12-03T00:00:00Z,2019-04-30T21:54:58Z,2019-06-24T14:08:33Z
24,8k71pn39w,8k71pn40n,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:8k71pn40n/full/max/0/default.jpg,8038.0,5534.0,1836-05-07T00:00:00Z,2019-04-29T17:21:25Z,2019-06-24T13:54:01Z
25,8k71pn39w,8k71pn41x,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:8k71pn41x/full/max/0/default.jpg,8038.0,5534.0,1836-05-07T00:00:00Z,2019-04-29T17:21:25Z,2019-06-24T13:54:01Z
26,8k71pn39w,8k71pn426,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:8k71pn426/full/max/0/default.jpg,8065.0,5606.0,1836-05-07T00:00:00Z,2019-04-29T17:21:25Z,2019-06-24T13:54:01Z
27,8k71pn39w,8k71pn43g,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:8k71pn43g/full/max/0/default.jpg,8047.0,5588.0,1836-05-07T00:00:00Z,2019-04-29T17:21:25Z,2019-06-24T13:54:01Z
28,8k71pn34h,8k71pn35s,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:8k71pn35s/full/max/0/default.jpg,8056.0,5552.0,1836-04-30T00:00:00Z,2019-04-29T17:18:56Z,2019-06-24T13:54:00Z
29,8k71pn34h,8k71pn362,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:8k71pn362/full/max/0/default.jpg,8047.0,5579.0,1836-04-30T00:00:00Z,2019-04-29T17:18:56Z,2019-06-24T13:54:00Z
30,8k71pn34h,8k71pn37b,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:8k71pn37b/full/max/0/default.jpg,8038.0,5561.0,1836-04-30T00:00:00Z,2019-04-29T17:18:56Z,2019-06-24T13:54:00Z
31,8k71pn34h,8k71pn38m,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:8k71pn38m/full/max/0/default.jpg,8038.0,5534.0,1836-04-30T00:00:00Z,2019-04-29T17:18:56Z,2019-06-24T13:54:00Z
32,8k71pn248,8k71pn25j,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:8k71pn25j/full/max/0/default.jpg,8065.0,5543.0,1836-04-16T00:00:00Z,2019-04-29T17:13:24Z,2019-06-24T13:53:58Z
33,8k71pn248,8k71pn26t,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:8k71pn26t/full/max/0/default.jpg,8065.0,5516.0,1836-04-16T00:00:00Z,2019-04-29T17:13:24Z,2019-06-24T13:53:58Z
34,8k71pn248,8k71pn273,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:8k71pn273/full/max/0/default.jpg,8047.0,5606.0,1836-04-16T00:00:00Z,2019-04-29T17:13:24Z,2019-06-24T13:53:58Z
35,8k71pn248,8k71pn28c,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:8k71pn28c/full/max/0/default.jpg,8056.0,5606.0,1836-04-16T00:00:00Z,2019-04-29T17:13:24Z,2019-06-24T13:53:58Z
36,8k71pn19d,8k71pn205,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:8k71pn205/full/max/0/default.jpg,8038.0,5552.0,1836-04-09T00:00:00Z,2019-04-29T17:11:24Z,2019-06-24T13:53:56Z
37,8k71pn19d,8k71pn21f,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:8k71pn21f/full/max/0/default.jpg,8038.0,5552.0,1836-04-09T00:00:00Z,2019-04-29T17:11:24Z,2019-06-24T13:53:56Z
38,8k71pn19d,8k71pn22q,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:8k71pn22q/full/max/0/default.jpg,8038.0,5534.0,1836-04-09T00:00:00Z,2019-04-29T17:11:24Z,2019-06-24T13:53:56Z
39,8k71pn19d,8k71pn230,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:8k71pn230/full/max/0/default.jpg,8038.0,5543.0,1836-04-09T00:00:00Z,2019-04-29T17:11:24Z,2019-06-24T13:53:56Z
