,Unnamed: 0,issue_id,image_id,image_url,height,width,record_date,created_at,modified_at,filename
0,0,mc87rn53x,mc87rn546,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rn546/full/max/0/default.jpg,5256.0,3680.0,1831-12-10T00:00:00Z,2019-04-30T21:55:52Z,2019-06-24T14:08:34Z,1_commonwealth_mc87rn53x_accessFull.jpg
1,1,mc87rn53x,mc87rn55g,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rn55g/full/max/0/default.jpg,5265.0,3668.0,1831-12-10T00:00:00Z,2019-04-30T21:55:52Z,2019-06-24T14:08:34Z,2_commonwealth_mc87rn53x_accessFull.jpg
2,2,mc87rn53x,mc87rn56r,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rn56r/full/max/0/default.jpg,5278.0,3731.0,1831-12-10T00:00:00Z,2019-04-30T21:55:52Z,2019-06-24T14:08:34Z,3_commonwealth_mc87rn53x_accessFull.jpg
3,3,mc87rn53x,mc87rn571,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rn571/full/max/0/default.jpg,5266.0,3713.0,1831-12-10T00:00:00Z,2019-04-30T21:55:52Z,2019-06-24T14:08:34Z,4_commonwealth_mc87rn53x_accessFull.jpg
4,4,mc87rn236,mc87rn24g,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rn24g/full/max/0/default.jpg,5282.0,3735.0,1831-10-29T00:00:00Z,2019-04-30T21:48:32Z,2019-06-24T14:08:28Z,1_commonwealth_mc87rn236_accessFull.jpg
5,5,mc87rn236,mc87rn25r,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rn25r/full/max/0/default.jpg,5263.0,3737.0,1831-10-29T00:00:00Z,2019-04-30T21:48:32Z,2019-06-24T14:08:28Z,2_commonwealth_mc87rn236_accessFull.jpg
6,6,mc87rn236,mc87rn261,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rn261/full/max/0/default.jpg,5314.0,3728.0,1831-10-29T00:00:00Z,2019-04-30T21:48:32Z,2019-06-24T14:08:28Z,3_commonwealth_mc87rn236_accessFull.jpg
7,7,mc87rn236,mc87rn279,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rn279/full/max/0/default.jpg,5376.0,3765.0,1831-10-29T00:00:00Z,2019-04-30T21:48:32Z,2019-06-24T14:08:28Z,4_commonwealth_mc87rn236_accessFull.jpg
8,8,mc87rn589,mc87rn59k,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rn59k/full/max/0/default.jpg,5266.0,3678.0,1831-12-17T00:00:00Z,2019-04-30T21:56:43Z,2019-06-24T14:08:35Z,1_commonwealth_mc87rn589_accessFull.jpg
9,9,mc87rn589,mc87rn60b,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rn60b/full/max/0/default.jpg,5255.0,3700.0,1831-12-17T00:00:00Z,2019-04-30T21:56:43Z,2019-06-24T14:08:35Z,2_commonwealth_mc87rn589_accessFull.jpg
10,10,mc87rn589,mc87rn61m,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rn61m/full/max/0/default.jpg,5261.0,3674.0,1831-12-17T00:00:00Z,2019-04-30T21:56:43Z,2019-06-24T14:08:35Z,3_commonwealth_mc87rn589_accessFull.jpg
11,11,mc87rn589,mc87rn62w,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rn62w/full/max/0/default.jpg,5257.0,3716.0,1831-12-17T00:00:00Z,2019-04-30T21:56:43Z,2019-06-24T14:08:35Z,4_commonwealth_mc87rn589_accessFull.jpg
12,12,mc87rn635,mc87rn64f,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rn64f/full/max/0/default.jpg,5360.0,3704.0,1831-12-24T00:00:00Z,2019-04-30T21:57:35Z,2019-06-24T14:08:37Z,1_commonwealth_mc87rn635_accessFull.jpg
13,13,mc87rn635,mc87rn65q,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rn65q/full/max/0/default.jpg,5342.0,3709.0,1831-12-24T00:00:00Z,2019-04-30T21:57:35Z,2019-06-24T14:08:37Z,2_commonwealth_mc87rn635_accessFull.jpg
14,14,mc87rn635,mc87rn660,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rn660/full/max/0/default.jpg,5249.0,3694.0,1831-12-24T00:00:00Z,2019-04-30T21:57:35Z,2019-06-24T14:08:37Z,3_commonwealth_mc87rn635_accessFull.jpg
15,15,mc87rn635,mc87rn678,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rn678/full/max/0/default.jpg,5240.0,3680.0,1831-12-24T00:00:00Z,2019-04-30T21:57:35Z,2019-06-24T14:08:37Z,4_commonwealth_mc87rn635_accessFull.jpg
16,16,mc87rp780,mc87rp798,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rp798/full/max/0/default.jpg,5292.0,3666.0,1833-06-08T00:00:00Z,2019-04-30T22:25:07Z,2019-06-24T14:08:38Z,1_commonwealth_mc87rp780_accessFull.jpg
17,17,mc87rp780,mc87rp801,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rp801/full/max/0/default.jpg,5292.0,3660.0,1833-06-08T00:00:00Z,2019-04-30T22:25:07Z,2019-06-24T14:08:38Z,2_commonwealth_mc87rp780_accessFull.jpg
18,18,mc87rp780,mc87rp819,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rp819/full/max/0/default.jpg,5292.0,3660.0,1833-06-08T00:00:00Z,2019-04-30T22:25:07Z,2019-06-24T14:08:38Z,3_commonwealth_mc87rp780_accessFull.jpg
19,19,mc87rp780,mc87rp82k,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rp82k/full/max/0/default.jpg,5292.0,3672.0,1833-06-08T00:00:00Z,2019-04-30T22:25:07Z,2019-06-24T14:08:38Z,4_commonwealth_mc87rp780_accessFull.jpg
20,20,mc87rn482,mc87rn49b,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rn49b/full/max/0/default.jpg,5272.0,3720.0,1831-12-03T00:00:00Z,2019-04-30T21:54:58Z,2019-06-24T14:08:33Z,1_commonwealth_mc87rn482_accessFull.jpg
21,21,mc87rn482,mc87rn503,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:mc87rn503/full/max/0/default.jpg,5260.0,3711.0,1831-12-03T00:00:00Z,2019-04-30T21:54:58Z,2019-06-24T14:08:33Z,2_commonwealth_mc87rn482_accessFull.jpg
